value	from	to
0,872557202	Самарская обл.	Архангельская обл.
0,875866335	Санкт-Петербург	Архангельская обл.
0,8882655	Саратовская обл.	Архангельская обл.
0,856370806	Саха (Якутия)	Архангельская обл.
0,878217503	Сахалинская обл.	Архангельская обл.
0,891672472	Свердловская обл.	Архангельская обл.
0,852593646	Севастополь	Архангельская обл.
0,844581457	Северная Осетия	Архангельская обл.
0,885405741	Смоленская обл.	Архангельская обл.
0,920169478	Ставропольский край	Архангельская обл.
0,839464938	Тамбовская обл.	Архангельская обл.
0,615281337	Татарстан	Архангельская обл.
0,902924986	Тверская обл.	Архангельская обл.
0,910129038	Томская обл.	Архангельская обл.
0,858217249	Тульская обл.	Архангельская обл.
0,687589847	Тыва	Архангельская обл.
0,89947769	Тюменская обл.	Архангельская обл.
0,907326772	Удмуртия	Архангельская обл.
0,934008375	Ульяновская обл.	Архангельская обл.
0,91124026	Хабаровский край	Архангельская обл.
0,926267531	Хакасия	Архангельская обл.
0,87301457	ХМАО – Югра	Архангельская обл.
0,861336886	Челябинская обл.	Архангельская обл.
0,755147482	Чечня	Архангельская обл.
0,849623946	Чувашия	Архангельская обл.
0,817630321	Чукотский АО	Архангельская обл.
0,822806496	Ямало-Ненецкий АО	Архангельская обл.
0,858906293	Ярославская обл.	Архангельская обл.
0,82151965	Адыгея	Астраханская обл.
0,702738745	Алтай	Астраханская обл.
0,880644207	Алтайский край	Астраханская обл.
0,815228825	Амурская обл.	Астраханская обл.
0,887616409	Архангельская обл.	Астраханская обл.
1	Астраханская обл.	Астраханская обл.
0,853071831	Башкортостан	Астраханская обл.
0,910667906	Белгородская обл.	Астраханская обл.
0,923338154	Брянская обл.	Астраханская обл.
0,831969116	Бурятия	Астраханская обл.
0,937133866	Владимирская обл.	Астраханская обл.
0,885723831	Волгоградская обл.	Астраханская обл.
0,869756508	Вологодская обл.	Астраханская обл.
0,895476128	Воронежская обл.	Астраханская обл.
0,865035801	Дагестан	Астраханская обл.
0,757326826	Еврейская АО	Астраханская обл.
0,898569596	Забайкальский край	Астраханская обл.
0,883811267	Ивановская обл.	Астраханская обл.
0,806293118	Ингушетия	Астраханская обл.
0,90660671	Иркутская обл.	Астраханская обл.
0,867861746	Кабардино-Балкария	Астраханская обл.
0,908853333	Калининградская обл.	Астраханская обл.
0,679335102	Калмыкия	Астраханская обл.
0,90080261	Калужская обл.	Астраханская обл.
0,794938244	Камчатский край	Астраханская обл.
0,714342574	Карачаево-Черкессия	Астраханская обл.
0,8676245	Карелия	Астраханская обл.
0,800735724	Кемеровская обл.	Астраханская обл.
0,885920383	Кировская обл.	Астраханская обл.
0,900283141	Коми	Астраханская обл.
0,870236899	Костромская обл.	Астраханская обл.
0,881287073	Краснодарский край	Астраханская обл.
0,941871655	Красноярский край	Астраханская обл.
0,88453454	Крым	Астраханская обл.
0,886286858	Курганская обл.	Астраханская обл.
0,930007359	Курская обл.	Астраханская обл.
0,923146758	Ленинградская обл.	Астраханская обл.
0,901575142	Липецкая обл.	Астраханская обл.
0,687682268	Магаданская обл.	Астраханская обл.
0,90007842	Марий Эл	Астраханская обл.
0,845874659	Мордовия	Астраханская обл.
0,608707328	Москва	Астраханская обл.
0,832375893	Московская обл.	Астраханская обл.
0,8036305	Мурманская обл.	Астраханская обл.
0,8014749	Ненецкий АО	Астраханская обл.
0,907591039	Нижегородская обл.	Астраханская обл.
0,922865867	Новгородская обл.	Астраханская обл.
0,869598599	Новосибирская обл.	Астраханская обл.
0,925606556	Омская обл.	Астраханская обл.
0,859086506	Оренбургская обл.	Астраханская обл.
0,857869451	Орловская обл.	Астраханская обл.
0,916223989	Пензенская обл.	Астраханская обл.
0,908363243	Пермский край	Астраханская обл.
0,870129646	Приморский край	Астраханская обл.
0,88472159	Псковская обл.	Астраханская обл.
0,922238904	Ростовская обл.	Астраханская обл.
0,849786465	Рязанская обл.	Астраханская обл.
0,931450367	Самарская обл.	Астраханская обл.
0,891911335	Санкт-Петербург	Астраханская обл.
0,880402068	Саратовская обл.	Астраханская обл.
0,749515426	Саха (Якутия)	Астраханская обл.
0,816397626	Сахалинская обл.	Астраханская обл.
0,841224726	Свердловская обл.	Астраханская обл.
0,904889517	Севастополь	Астраханская обл.
0,815402112	Северная Осетия	Астраханская обл.
0,897348806	Смоленская обл.	Астраханская обл.
0,9172043	Ставропольский край	Астраханская обл.
0,811532946	Тамбовская обл.	Астраханская обл.
0,536309193	Татарстан	Астраханская обл.
0,930467173	Тверская обл.	Астраханская обл.
0,753858212	Томская обл.	Астраханская обл.
0,825085142	Тульская обл.	Астраханская обл.
0,636514002	Тыва	Астраханская обл.
0,879176756	Тюменская обл.	Астраханская обл.
0,891141446	Удмуртия	Астраханская обл.
0,867628301	Ульяновская обл.	Астраханская обл.
0,836190647	Хабаровский край	Астраханская обл.
0,869354078	Хакасия	Астраханская обл.
0,694015973	ХМАО – Югра	Астраханская обл.
0,855423742	Челябинская обл.	Астраханская обл.
0,822261447	Чечня	Астраханская обл.
0,799543987	Чувашия	Астраханская обл.
0,8101717	Чукотский АО	Астраханская обл.
