from;to;value
Крым;Астраханская обл.;-0,0770253385156668
Курганская обл.;Астраханская обл.;-0,111332338235423
Курская обл.;Астраханская обл.;0,421589135424616
Ленинградская обл.;Астраханская обл.;0,326005931671045
Липецкая обл.;Астраханская обл.;0,536824246385022
Магаданская обл.;Астраханская обл.;-0,0297860994609554
Марий Эл;Астраханская обл.;0,37641222674243
Мордовия;Астраханская обл.;0,252709577733655
Москва;Астраханская обл.;0,0348952741378432
Московская обл.;Астраханская обл.;0,295881051728672
Мурманская обл.;Астраханская обл.;-0,210574430790567
Ненецкий АО;Астраханская обл.;-0,0876786300416841
Нижегородская обл.;Астраханская обл.;0,508245525234338
Новгородская обл.;Астраханская обл.;0,519507167158288
Новосибирская обл.;Астраханская обл.;0,367920034698629
Омская обл.;Астраханская обл.;0,0900537300670762
Оренбургская обл.;Астраханская обл.;-0,112863157754231
Орловская обл.;Астраханская обл.;0,52033674999836
Пензенская обл.;Астраханская обл.;0,569641861323203
Пермский край;Астраханская обл.;0,241936740957267
Приморский край;Астраханская обл.;0,0381858637493102
Псковская обл.;Астраханская обл.;0,416203547984959
Ростовская обл.;Астраханская обл.;0,534629852222494
Рязанская обл.;Астраханская обл.;0,31131583665007
Самарская обл.;Астраханская обл.;0,405886353688257
Санкт-Петербург;Астраханская обл.;0,322221894876013
Саратовская обл.;Астраханская обл.;0,39864714721348
Саха (Якутия);Астраханская обл.;0,559046107037221
Сахалинская обл.;Астраханская обл.;-0,1623483932586
Свердловская обл.;Астраханская обл.;0,427369667823515
Севастополь;Астраханская обл.;-0,0536102030207645
Северная Осетия;Астраханская обл.;0,12530695918174
Смоленская обл.;Астраханская обл.;0,55200555629627
Ставропольский край;Астраханская обл.;0,137878776343828
Тамбовская обл.;Астраханская обл.;0,417632341437534
Татарстан;Астраханская обл.;0,137110051687115
Тверская обл.;Астраханская обл.;0,487831212369939
Томская обл.;Астраханская обл.;0,105013499386906
Тульская обл.;Астраханская обл.;0,485619180871149
Тыва;Астраханская обл.;0,365469162460233
Тюменская обл.;Астраханская обл.;-0,104292432782008
Удмуртия;Астраханская обл.;0,118920755582033
Ульяновская обл.;Астраханская обл.;0,342777169301136
Хабаровский край;Астраханская обл.;0,0195039960794031
Хакасия;Астраханская обл.;0,18183099934066
ХМАО – Югра;Астраханская обл.;0,139033083282601
Челябинская обл.;Астраханская обл.;0,271627548827668
Чечня;Астраханская обл.;0,0587611751812521
Чувашия;Астраханская обл.;0,574186227027271
Чукотский АО;Астраханская обл.;0,195654488765621
Ямало-Ненецкий АО;Астраханская обл.;-0,0980909502313589
Ярославская обл.;Астраханская обл.;0,414485391050924
Адыгея;Башкортостан;0,177635028235183
Алтай;Башкортостан;-0,383850870554068
Алтайский край;Башкортостан;-0,222441894275684
Амурская обл.;Башкортостан;0,0692504915536914
Архангельская обл.;Башкортостан;0,167408862012287
Астраханская обл.;Башкортостан;0,466117123642594
Башкортостан;Башкортостан;1
